"Top values of all_text.keyword","Count of records"
"
O laudo do Marçal sobre Boulos - Esse vídeo é só pra quem busca a verdade

https://t.me/freedomnewsforyou 🇧🇷",4
"
OiLuizTV 
GLOBO CHORA DERROTA DE BOULOS 
E CULPA TARCÍSIO POR FALAR DO PCC!


Blogueiras da Globo choram a derrota de Boulos e culpam Tarcísio por revelar bilhetes 


Inscreva-se compartilhe🔽
@qrmKuCwkBmNDU5
@forcaehonra1",4
"
Por que um verdadeiro cristão não vota em Boulos.
Se você é um cristão, ao assistir a este vídeo, vai dizer não a Boulos.",4
"
Saved by @InstantMediaBot

ACABOU: Boulos faz piada de mau gosto com Isabela Nardoni, apanha nas redes e enterra candidatura!",4
"
Saved by @InstantMediaBot

Nem a Globo quer o Boulos, é nítido!",4
"
Se o Boulos invadir essa testa, da pra cobrar aluguel de umas 10 famílias",4
"
TSE recebe denuncia apresentada por Boulos

Inscreva-se compartilhe🔽
@qrmKuCwkBmNDU5
@forcaehonra1",4
"
Tarcísio de Freitas diz que facção pediu votos a Guilherme Boulos. TRE nega ter recebido relatório.",4
"
Um apelo os eleitores do Pablo Marçal:

NÃO DEIXE A FRUSTRAÇÃO TIRAR SUA RAZÃO.  

No segundo turno em São Paulo, contra Boulos, é um dever moral votar no Nunes, nem que pra isso precisamos usar luvas e tapar o nariz.

Boulos NÃO PODE SER ELEITO.",4
"
https://noticias.uol.com.br/colunas/raquel-landim/2024/10/27/veja-bilhetes-do-pcc-pedindo-votos-em-boulos-que-serao-entregues-a-justica.htm",4
"
🚨 Se Lascou: Pablo Marçal está pardendo seguidores sem parar no Instagram após live ontem com Guilherme Boulos.

@ZUMBINOTICIAS",4
"
🤣🤣🤣🤣🤣🤣.
O único presídio que o Boulos perdeu foi presídio Militar Romão Gomes. Só os policiais presos que votaram no R. Nunes",4
"""Boulos será prefeito de São Paulo"", diz Marçal
https://www.poder360.com.br/poder-eleicoes/boulos-sera-prefeito-de-sao-paulo-diz-marcal/
",4
"A melhor coisa que pode acontecer para o Brasil, é o boulos ganhar. Daquele jeitinho.
",4
"AO VIVO: PABLO MARÇAL FRENTE A FRENTE COM GUILHERME BOULOS E RICARDO NUNES - PREFEITURA DE SÃO PAULO.
",4
"Aborto, segurança e transporte: Nunes e Boulos buscam voto a voto na reta final.
",4
"Aloysio Nunes, ex-senador pelo PSDB, anuncia apoio a Boulos no 2° turno - Revista Oeste
https://www.revistaoeste.com/politica/aloysio-nunes-ex-senador-pelo-psdb-anuncia-apoio-a-boulos-no-segundo-turno/
",4
"As duzentas derrotas de Boulos https://www.jornalbrasilonline.com.br/2024/10/as-duzentas-derrotas-de-boulos.html
",4
"Boulos parte para a ofensa e é desmoralizado por Marçal (veja o vídeo)
https://www.jornaldacidadeonline.com.br/noticias/63219/boulos-parte-para-a-ofensa-e-e-desmoralizado-por-marcal-veja-o-video
",4
"Com Marçal fora, Nunes e Boulos disputarão o segundo turno em São Paulo
https://www.newsatual.com/nunes-e-boulos-no-segundo-turno-marcal-esta-fora/
",4
"Com ampla vantagem, Boulos foi o mais votado em prisões

https://pleno.news/brasil/eleicoes-2024/com-ampla-vantagem-boulos-foi-o-mais-votado-em-prisoes.html
",4
"Debate decisivo entre Nunes e Boulos vai ser nesta sexta-feira, 25.
",4
"Em discurso com Boulos, Lula ataca Marçal e Bolsonaro
https://www.newsatual.com/discurso-com-boulos-lula-ataca-marcal-bolsonaro/
",4
"HISTORIA DO LADRAO  BOULOS

https://youtu.be/b0RAZU-PNRc?si=bGLhRTVPpfkl_bK2
",4
"Juíz coloca sigilo em pedido de prisão de Boulos para Marçal
https://diariodobrasilnoticias.com.br/noticia/juiz-coloca-sigilo-em-pedido-de-prisao-de-boulos-para-marcal-670146df4f9c3
",4
"Lula deve gravar vídeos para campanha de Guilherme Boulos

https://pleno.news/brasil/eleicoes-2024/lula-deve-gravar-videos-para-campanha-de-guilherme-boulos.html
",4
"Lula e Boulos vão ao TSE para não pagarem por ilícito eleitoral

https://pleno.news/brasil/politica-nacional/lula-e-boulos-vao-ao-tse-para-nao-pagarem-por-ilicito-eleitoral.html
",4
"Nunca irei votar no BANANINHA de esquerda 
Quem não votou no Marçal que será culpado pelo BOULOS na prefeitura 
FODA-SE
",4
"Nunes Marques será relator de ação de Boulos contra Tarcísio 
 
https://www.portalcidade.news/nunes-marques-sera-relator-de-acao-de-boulos-contra-tarcisio/
",4
"PT despeja R$ 45 milhões para eleger Boulos em São Paulo

https://pleno.news/brasil/eleicoes-2024/pt-despeja-r-45-milhoes-para-eleger-boulos-em-sao-paulo.html
",4
"Por ordem do TRE, Boulos publica direito de resposta de Nunes

https://pleno.news/brasil/eleicoes-2024/por-ordem-do-tre-boulos-publica-direito-de-resposta-de-nunes.html
",4
"Pra ele é fácil, vota no Boulos mas mora em Brasília.
Quero ver morar numa cidade governada por esse terrorista.
",4
"Revelação de Nunes sobre “calote” de Boulos é confirmada (veja o vídeo)
https://www.jornaldacidadeonline.com.br/noticias/63826/revelacao-de-nunes-sobre-calote-de-boulos-e-confirmada-veja-o-video#google_vignette
",4
"Sabemos que TRE TSE passa pano pra esquerda. Boulos chama 2 pessoas pra cabine de votação e tira foto.
",4
"Sem Marçal, Nunes e Boulos vão disputar 2° turno em São Paulo

https://pleno.news/brasil/eleicoes-2024/sem-marcal-nunes-e-boulos-vao-disputar-2-turno-em-sao-paulo.html
",4
"SÓ LEMBRANDO, 
BOULOS NÃO TEM VOTOS!!! 
BOULOS NÃO ENCHE UMA RUA 
BOULOS NÃO ENCHE UM EVENTO 
BOULOS NÃO ENCHE UMA CARREATA 
 
QUALQUER VEÍCULO DA MÍDIA QUE FALAR DIFERENTE REBATA 
É MENTIRA, É FAKE !!! 
BOULOS NÃO !!! 
ELE NÃO !!!
",4
"Tadinho! LULA abandona BOULOS na reta final. Já sabem que será ums surra.
",4
"https://atrombetanews.com.br/2024/10/27/urgente-boulos-pede-a-justica-cassacao-de-tarcisio-e-inelegibilidade-de-nunes-apos-fala-sobre-pcc/
URGENTE! Boulos pede à Justiça cassação de Tarcísio e inelegibilidade de Nunes após fala sobre PCC
",4
"https://diariodopoder.com.br/brasil-e-regioes/sao-paulo/ttc-sao-paulo/boulos-vence-nos-presidios-houve-ate-caso-de-votacao-unanime
",4
"https://gazetabrasil.com.br/brasil/sao-paulo-brasil/2024/10/15/nunes-e-boulos-protagonizam-momento-comico-no-debate/
",4
"https://gazetabrasil.com.br/politica/2024/10/03/justica-atende-boulos-e-manda-apagar-video-de-pablo-marcal-com-se-nao-ganhar-e-rolo/
",4
"https://gazetabrasil.com.br/politica/2024/10/10/pesquisa-fespsp-ricardo-nunes-tem-515-e-guilherme-boulos-359-no-2o-turno/
",4
"https://gazetabrasil.com.br/politica/2024/10/27/carmen-lucia-garante-celeridade-do-tse-em-tratar-denuncia-de-boulos-contra-tarcisio/
",4
"https://gazetabrasil.com.br/politica/2024/10/27/pt-pede-prisao-de-tarcisio-apos-acusacao-de-apoio-do-pcc-a-boulos/
",4
"https://gazetabrasil.com.br/ultimas-noticias/2024/10/27/recuperamos-a-dignidade-da-esquerda-brasileira-diz-boulos-apos-derrota-em-sp/
",4
"https://revistaoeste.com/politica/mtst-exclui-militantes-de-projeto-habitacional-e-inclui-mulher-de-boulos-e-5-filhos-de-lider/
",4
"https://www.jornaldacidadeonline.com.br/noticias/63482/comeca-o-20-turno-boulos-conta-a-1a-mentira-mas-e-desmentido-categoricamente-pela-revista-veja
",4
"https://www.metropoles.com/sao-paulo/mpsp-apontou-ligacao-de-dono-de-clinica-usada-contra-boulos-com-o-pcc
",4
"
@danuzioneto Boulos é confrontado por eleitor de Bolsonaro

https://t.me/freedomnewsforyou 🇧🇷",3
"
A ENEL está boicotando Ricardo Nunes e Tarcísio de Freitas para ajudar o Boulos nas eleições de São Paulo.",3
"
A própria esquerda confirmando que Pablo LaMaçal fez acordo com Boulos para eleger o comunista",3
"
Agora é a hora da direita se unir e até quem votou no Marçal e na Marina Silva, votarem no Nunes, para destruirmos o Boulos e claro o PSOL, PT e Lula juntos.
Eles precisam ser derrotados, derretidos.",3
"
Alex Moretti

·
1 h
Guilherme Boulos deve estar com saudades do picareta do Pablo Marçal com suas frases de efeito e carteira de trabalho

Ricardo Nunes está amassando o Boulos no debate kkkkkkkkkkkkkk",3
"
Alexandre Boulos ou Guilherme de Moraes?!",3
"
Ameaça ??

🚨 Em “debate com o povo”, Boulos diz que vai virar a eleição nas últimas 48 horas.

⤵️
t.me/apocalipserd",3
"
BR eleitoral 🇧🇷 🎪 

Olha aí o BOULOS cometendo CRIME ELEITORAL! 

⤵️
t.me/apocalipserd",3
"
BRASIL CONTRA BOULOS/LULALADRAO",3
"
Bora Derrubar Boulos 🍰🎂",3
"
BouLos levou uma lavada, parabéns Marina!

https://t.me/freedomnewsforyou 🇧🇷",3
"
Boulos alcança a impressionante marca de 72% dos votos dos presídios da capital paulista...
😳😖🤮🤮😡😡
https://www.folhadestra.com/boulos-alcanca-impressionante-marca-de-72-de-votos-em-presidios-da-capital",3
"
Boulos comunista em 2°, obrigado Frouxonaro!",3
"
Boulos diz que laudo médico publicado por Pablo Marçal é falso, e afirma que acionará o candidato na justiça.

Marçal desafiou o concorrente a fazer o exame junto com ele neste sábado, véspera da eleição.",3
"
Boulos fará o que sabe fazer na última semana das eleições: invadir casas.",3
"
Boulos humilhado, PT humilhado e agora mais essa notícia. O que estão achando dessa segunda-feira? Boa? Sim ou claro?



Inscreva-se compartilhe🔽
@qrmKuCwkBmNDU5
@forcaehonra1",3
"
Boulos ultrapassa Marçal

👩🏼‍💻 @CanalEronews",3
"
Boulos é tchola.

#Hominanet

@Intankavelobostilofc",3
"
Depois de injetar 30 Milhões na candidatura do Boulos 🍰🎂, Lulalau vai Viajar 🏖💰💰💰💰
https://t.me/Brasilverdadeiro",3
"
Dilma ultrapassa Aécio as 18:45
Lula ultrapassa Bolsonaro as 18:45
Boulos ultrapassa Marçal as 18:45
Que puta coincidência não!",3
"
E a #globolixo apoiando... 
Lembram dos ""políticos do fecha tudo""? Ricardo Nunes, Tabata Amaral, Boulos, Datena, Dória (o👖apertada), Covas (cavou a própria cova)...
Eles estão de volta, não vote nesses 💩💩",3
"
ESSE É O RESULTADO DE QUANDO SE VOTA EM LULA E BOULOS..... 🥴",3
"
Gil Diniz
@carteiroreaca
·
2 h
Pablo Marçal ao ficar de afagos com Boulos na reta final, viajar para Europa e não votar no segundo turno em São Paulo:

Perdeu em pé ou ganhou de quatro?",3
"
Gil Diniz
Ainda bem que temos a internet pra mostrar o que verdadeiramente Boulos defende e tenta esconder em época de eleição.",3
"
Guilherme Boulos ganha em apenas 3 zonas eleitorais de São Paulo, enquanto Ricardo Nunes, reeleito prefeito, vence em 54. 
Atropelamento, Perdeu, Mané! Se for chorar manda áudio!",3
"
Imagina, bater o carro já é um transtorno! Quando vai ver quem é o motorista, lá está o Boulos 🤡


Inscreva-se compartilhe🔽
@qrmKuCwkBmNDU5
@forcaehonra1",3
"
LaMaçal esbravejava com uma ESPADA NA MÃO E ESTUFANDO O PEITO dizia que era ""todos contra Boulos"", mas agora afirma que quer que ele ganhe em São Paulo. 

Jair Bolsonaro mais uma vez tinha razão, LaMaçal é LIXO comunista!!",3
"
MARÇAL POSTOU O BOULOS CHEIRADOR",3
"
Marçal 28 APRESENTA RECEITUÁRIO ONDE CONFIRMA QUE BOULOS É CONSUMIDOR DE COCAÍNA 👈👈👈👈

Compartilhar é dever Cívico VOTE 28",3
"
Marçal dá  seu recado:

""Está querendo votar em Boulos?
Não faça isso, não faça isso!""",3
"
Marçal e Boulos juntos e misturados 🤦‍♀",3
"
Nunes abre Grande vantagem sobre Boulos",3
"
O VÍDEO QUE O BOULOS NÃO QUER QUE VOCÊ VEJA.

Então nós mostramos. ✍

--------------------------------------------------------------------------------------------

@FORACOMUNAS",3
"
O caos de São Paulo e do apagão tem nome: Luiz Inácio Lula da Silva. Tudo isso para fazer campanha pro Boulos! Te provo nesse reels.",3
"
O que acontece com o povo votando no boulos?",3
"
O que será que aconteceu?

No passado, não muito distante, a esquerda não defendia Moraes. 

Muito pelo contrário, ele foi chamado por Boulos de fascista.


Inscreva-se compartilhe🔽
@qrmKuCwkBmNDU5
@forcaehonra1",3
"
Olha aí o que o Boulos faz, com o nosso  dinheiro, rouba  p/comprar militância...
🤡👊🏻",3
"
Ouvi dizer que terá uma live especial hoje! 
Marçal ❤️ Boulos",3
"
Pablo Marçal diz que não é responsável por laudo e que o recebeu de alguém  

“Eu recebi o laudo e publiquei. Não foi eu que fiz ele. Espero que as investigações ocorram bem. Boulos é um criminoso, cheirador de cocaína”.

🙊 @CanalEronews",3
"
Pablo Marçal publica suposta PROVA que Boulos é usuário de Cocaína.

--------------------------------------------------------------------
@ForaComunas",3
"
Paula Zanelli
3 h
A Mãe de Isabela Nardoni se posiciona e critica o Boulos",3
"
Perito criminal Ricardo Molina analisa o documento do Boulos sobre uso de cocaína e o inesperado aconteceu - via @ibaixador_bot 🤖",3
"
Por São Paulo.
Pelo Brasil.
Diga NÃO ao candidato da extrema-esquerda Guilherme Boulos.

#ELENÃO

Junte-se ao Oráculo Nacionalista!
https://t.me/oraculonacionalistaoficial",3
"
Ricardo Nunes e Boulos se abraçam no debate da Band

- Você tá bem?
- Eu to bem e você?   @aliancacombolsonaro",3
"
Rubinho Nunes

1 h
O caos de São Paulo e do apagão tem nome: Luiz Inácio Lula da Silva. A concessão de energia é federal, e quem controla isso é o governo Lula.

Tudo isso para fazer campanha para Guilherme Boulos! Te provo nesse vídeo.",3
"
Saved by @InstantMediaBot

Adeus, Boulos!",3
"
Saved by @InstantMediaBot

BOULOS QUER ENGANAR VOCÊ #cortesmbl #direita #bolsonaro #shortsfeeds #shorts #boulos #lgbt",3
"
Saved by @InstantMediaBot

Nem adianta me processar, hein, Boulos? Como você tem feito com todo mundo. Está tudo na matéria da Folha. Reclama com eles.",3
"
Se o DataFolha mostra esses números, significa que Boulos está em segundo ou terceiro lugar.

Se Boulos ficar fora do segundo turno, aumentam as chances de vitória de Ricardo Nunes, que deverá herdar parte dos votos do psolista.",3
"
Uma marçalete tentando justificar a união de Marçal com Boulos 🙈

Patético.",3
"
VOCÊ, que tem afinidades com partidos de esquerdas...

BOULOS E NUNES !",3
"
Xô Boulos de Satanás!",3
"
qualquer um que estiver defendendo o Boulos tem que pegar pena de morte

#LoveHN",3
"
⚠️ SP, ESTE É O VERDADEIRO BOULOS. BOULOS JAMAIS! VOTE 1️⃣5️⃣ Ricardo Nunes

Boulos NÃO PODE ter a cadeira da prefeitura de São Paulo! Neste 2°turno na capital paulista, não anule, não jogue seu voto fora. 

https://t.me/freedomnewsforyou 🇺🇸🇧🇷",3
"
ㅤ ㅤ ㅤ ㅤㅤ ㅤ ㅤ
Kit eleitor do boulos em promoção para comemorar que esse arrombado foi pro segundo turno.

@imodestoseoldschool",3
"
🇧🇷 Instagram remove publicação de Pablo Marçal que alegava teste positivo de Guilherme Boulos para uso de cocaína.",3
"
🇧🇷 — Tarcísio de Freitas diz que facção pediu votos a Guilherme Boulos. TRE nega ter recebido relatório.

☕ Considere apoiar nosso canal!
📪 Apoie anonimamente!

🌐 Siga @Armillary no 𝕏 e Telegram",3
"
🇺🇸 EUA
Maior lançador de objetos espaciais do mundo retorna inteiro para o planeta Terra. @SpaceX 

🇧🇷 Brasil
Na cidade do segundo turno entre Nunes e Boulos, São Paulo está há 3 dias sem energia elétrica.

Planetas distintos.",3
"
🌩

🇧🇷🗳

Farçal quer o Boulos 😁

Isso pq ele é Didireita😂",3
"
🌩

🇧🇷🗳🥳🥳🥳

Ricardo Nunes engoliu Farçal e Guilherme Boulos.",3
"
🌩️

🚨🚨NUNES E BOULOS NO 2º TURNO

Com 93% das urnas apuradas, às 19:31, o cenário desenhado é o 2º turno entre Nunes e Boulos, deixando as expectativas de participação de Marçal no próximo pleito eleitoral.",3
"
👆🏻🔮🙄 Laudo médico de GUILHERME BOULOS . REPASSE COM URGÊNCIA.",3
"
🚨 Debate SP: Pablo Marçal detona Boulos e diz que ele deve conhecer várias biqueiras da cidade.

🇧🇷 @thedutv",3
"
🚨 Maconheiro: Após ser pressionado por Pablo Marçal em debate, Guilherme Boulos admite que já usou maconha, porém negou o uso de cocaína.",3
"
🚨AGORA: Com 59% dos votos, Ricardo Nunes (MDB), com apoio de Bolsonaro e Tarcísio, derrota Boulos (PSOL) e é reeleito em São Paulo",3
"
🚨URGENTE - Boulos acaba de patrocinar pedido de inelegibilidade de Tarcísio e a cassação da chapa do Nunes.",3
"
🚨URGENTE - Laudo apresentado por Marçal contra Boulos é falso, confirmam peritos da Polícia Civil de SP

Foram identificadas pelo menos oito evidências de falsificação no documento divulgado

🔗 SPACE LIBERDADE  (@NewsLiberdade)",3
"
🟥⚡⚡⚡⚡⚡🟥

🇧🇷 🏳 — Um 2° turno é oficialmente definido entre Ricardo Nunes e Guilherme Boulos.

☕ Considere apoiar nosso canal!
📪 Apoie anonimamente!

🌐 Siga @Armillary no 𝕏 e Telegram",3
"
🤚🤚🤚🤚ACORDA BRASIL🇧🇷🇧🇷🇧🇷🇧🇷SE DEIXARMOS SOLTO, EM BREVE BOULOS GANHARÁ AS ELEICOESEM SÃO PAULO🤚🤚🤚🤚🤚",3
"''A MÁSCARA DO MARÇAL CAIU'' - SABATINA COM BOULOS - KIM PAIM - ANCAPSU ...
https://youtube.com/watch?v=lTv-q3P1bRQ&si=fmkehhlTdqnmfBtx
",3
"A esquerda anda mais raivosa do que nunca nesta semana.
Isso porque Boulos vai levar uma surra em São Paulo e o PT sofrerá outra derrota com Maria do Rosário em Porto Alegre.

Como sabem que Lula irá demolir a economia, o cenário para 2026 se complica.
",3
"AFUNDOU DE VEZ E O DESESPERO GLOBAL COM BOULOS FORA DO SEGUNDO TURNO! MA...
https://youtube.com/watch?v=-MxEaDZ3DmQ&si=_EsNCZ1dX7px_GU2
",3
"Ação de Boulos contra Tarcísio cai nas mãos de Nunes Marques https://www.jornalbrasilonline.com.br/2024/10/acao-de-boulos-contra-tarcisio-cai-nas.html
",3
"Boulos explora crédito lançado por Lula em SP a dias do 2º turno
https://pleno.news/brasil/eleicoes-2024/boulos-explora-credito-lancado-por-lula-em-sp-a-dias-do-2o-turno.html
",3
"Boulos obteve 72% dos votos de presidiários em SP.
",3
"Boulos perde ação contra Nunes na Justiça Eleitoral.
",3
"Boulos perdeu até no bairro que mora https://www.jornalbrasilonline.com.br/2024/10/boulos-perdeu-ate-no-bairro-que-mora.html
",3
"Boulos tem votação extraordinária nas prisões https://www.jornalbrasilonline.com.br/2024/10/boulos-tem-votacao-extraordinaria-nas.html
",3
"Boulos: o Mentiroso de Lula 😎
",3
"Cadê a direita que defendia ao Marçal?

""Marçal rejeita apoio a Nunes e prevê vitória de Boulos em São Paulo.""

Assista no VEJA+: https://veja-mais.fanhero.tv/c/veja/post/giro-veja-09-10-2024
",3
"Campanha de Boulos marca ato na rua em dia proibido pelo TRE

https://pleno.news/brasil/eleicoes-2024/campanha-de-boulos-marca-ato-na-rua-em-dia-proibido-pelo-tre.html
",3
"Campanha mais cara do Brasil, Boulos quase fica fora do 2º turno 
 
https://www.portalcidade.news/campanha-mais-cara-do-brasil-boulos-quase-fica-fora-do-2o-turno/
",3
"Cartas atribuídas ao PCC revelam outro nome além de Boulos https://www.jornalbrasilonline.com.br/2024/10/cartas-atribuidas-ao-pcc-revelam-outro.html
",3
"Cármen Lúcia: TSE dará resposta rápida a denúncia de Boulos.

https://vistapatria.com.br/carmen-lucia-tse-dara-resposta-rapida-a-denuncia-de-boulos/
",3
"Datafolha: Boulos é rejeitado por 92% dos eleitores de Pablo Marçal.

https://vistapatria.com.br/datafolha-boulos-e-rejeitado-por-92-dos-eleitores-de-pablo-marcal/
",3
"Eleitora processa Boulos por uso indevido de imagem
https://www.poder360.com.br/poder-eleicoes/eleitora-processa-boulos-por-uso-indevido-de-imagem/
",3
"Eleitores contrariam Datena e irão em Nunes em vez de Boulos

https://pleno.news/brasil/eleicoes-2024/eleitores-contrariam-datena-e-irao-em-nunes-em-vez-de-boulos.html
",3
"Em campanha, Boulos se encontra com militantes anti-Israel.
",3
"Está ameaçando. Esta apoiando Boulos. Tenha vergonha
",3
"FESPSP: Nunes abre mais de 15 pontos de diferença para Boulos | Brasil | Pleno.News
https://pleno.news/brasil/eleicoes-2024/fespsp-nunes-abre-mais-de-15-pontos-de-diferenca-para-boulos.html
",3
"Leia as cartas nas quais PCC teria pedido votos em Boulos e Marta

https://pleno.news/brasil/eleicoes-2024/leia-as-cartas-nas-quais-pcc-teria-pedido-votos-em-boulos-e-marta.html
",3
"Loucura demais, ele fazer isso.. principalmente correndo em live.. depois o pessoal do Boulos identifica rapidamente e sai atirando.. ele não ta nem com colete balístico.. Marçal é doidooo mano
",3
"Lula faz duas caminhadas com Boulos e Marta no sábado.
",3
"Lula “opina” sobre suposto laudo de Boulos postado por Marçal
https://pleno.news/brasil/eleicoes-2024/lula-opina-sobre-suposto-laudo-de-boulos-postado-por-marcal.html
",3
"MARÇAL enterra Boulos e janones sem dó, TARCÍSIO é criticado com MORAES ...
https://youtube.com/watch?v=7NfEykCjd00&si=PXAAHdxXAVvoXEdM
",3
"Marçal diz que Instagram removeu post de suposto laudo contra Boulos
https://noticias.uol.com.br/eleicoes/2024/10/05/marcal-instagram-post-boulos.htm
",3
"Marçal diz ser contra Boulos, mas faz exigências para apoiar Nunes 
 
https://www.portalcidade.news/marcal-diz-ser-contra-boulos-mas-faz-exigencias-para-apoiar-nunes/
",3
"Marçal pede que imprensa adote termo extrema-esquerda

https://pleno.news/brasil/politica-nacional/marcal-pede-que-imprensa-adote-termo-extrema-esquerda-e-chama-boulos-de-marginal.html
",3
"Nunes X Boulos - Eleições São Paulo.
",3
"Nunes a Boulos: “Você não sabe muito bem o que é trabalhar” 
 
https://www.portalcidade.news/nunes-a-boulos-voce-nao-sabe-muito-bem-o-que-e-trabalhar/
",3
"Nunes tem 52,4% e Boulos, 31,5%, no segundo turno em SP, diz pesquisa Futura | Exame
https://exame.com/brasil/nunes-tem-524-e-boulos-315-no-segundo-turno-em-sp-diz-pesquisa-futura/amp/
",3
"Não consigo mesmo é confiar cegamente nessas urnas sem impressão do voto... 
Onde é que estavam ""escondidos"" os mais de 1 milhão de eleitores do Boulos que não ""quiseram"" comparecer ontem na manifestação do Boulos para o Lula, na Avenida Paulista?
🙄🤮🤨
",3
"Não tinha nem que ter segundo turno, se os paulistanos tivessem vergonha na cara e não votassem no Nunes e no Boulos.
",3
"Número de abstenções em SP foi maior que a votação de Boulos  https://www.jornalbrasilonline.com.br/2024/10/numero-de-abstencoes-em-sp-foi-maior.html
",3
"O partido dessa Cristina apoia o invasor Boulos aqui em São Paulo, e ela tem vídeo dizendo que não é bolsonarista!! O candidato do presidente Bolsonaro em Curitiba é o Paulo Martins( PL) e pimentel!!
",3
"O sistema quer Boulos e precisava desse show .. agora esperemos só verdadeiro show 🫣
",3
"Pablo Marçal desafia Nunes e Boulos para serem sabatinados por ele.
",3
"Pablo Marçal sobre sabatina com Boulos: 'Conduzirei com respeito'

https://pleno.news/brasil/eleicoes-2024/pablo-marcal-sobre-sabatina-com-boulos-conduzirei-com-respeito.html
",3
"Pedido de Boulos pela inelegibilidade de Tarcísio não deve prosperar, dizem ministros do TSE.
",3
"SAIU A PIOR NOTÍCIA PARA BOULOS E LULA!! MARÇAL ENTERRA BOULOS!! LULA CH...
https://youtube.com/watch?v=4aKW_b0hJUQ&si=4-qHAOIbvWpgI3UN
",3
"Sem Marçal, Nunes e Boulos vão disputar 2° turno em São Paulo 
 
https://www.portalcidade.news/sem-marcal-nunes-e-boulos-vao-disputar-2-turno-em-sao-paulo/
",3
"Tabata expõe Boulos por mudar opinião sobre aborto e drogas

https://pleno.news/brasil/eleicoes-2024/tabata-expoe-boulos-por-mudar-opiniao-sobre-aborto-e-drogas.html
",3
"Tá ok, mas como o Marçal não gamou ou o sistema ( Kassab e mala falia ) fez ele não ganhar. Paulistanos engolem o Boulos comunista, defensor de tudo que não presta e é errado, como prefeito de São Paulo.
",3
"URGENTE: MARÇAL ENCURRALA BOULOS E O FAZ CONFESSAR QUE JÁ USOU DROGAS
https://www.jornaldacidadeonline.com.br/noticias/63053/urgente-marcal-encurra-boulos-e-o-faz-confessar-que-ja-usou-drogas

Contou tudo!
",3
"Urgente: Ricardo Nunes dá pisa em Boulos e é reeleito  https://www.jornalbrasilonline.com.br/2024/10/urgente-ricardo-nunes-da-pisa-em-boulos.html
",3
"Urgente: Ricardo Nunes e Boulos vão ao 2º turno Marçal fica de fora https://www.jornalbrasilonline.com.br/2024/10/urgente-ricardo-nunes-e-boulos-vao-ao-2.html
",3
"Zero surpresa... afinal sempre foram  parças
https://gazetabrasil.com.br/.../datena-declara-apoio-a.../
Gazeta Brasil (https://gazetabrasil.com.br/.../datena-declara-apoio-a.../)
Datena Declara Apoio a Boulos no Segundo Turno da Prefeitura de São Paulo
",3
"https://gazetabrasil.com.br/brasil/sao-paulo-brasil/2024/10/06/segunda-turno-definido-em-sao-paulo-ricardo-nunes-e-guilherme-boulos-se-enfrentarao-pela-prefeitura/
",3
"https://gazetabrasil.com.br/brasil/sao-paulo-brasil/2024/10/07/tabata-amaral-anuncia-apoio-a-boulos-e-afirma-ter-sido-responsavel-por-tirar-pablo-marcal-do-2o-turno/
",3
"https://gazetabrasil.com.br/politica/2024/09/30/boulos-admite-ja-ter-usado-droga-uma-vez/
",3
"https://gazetabrasil.com.br/politica/2024/09/30/pesquisa-atlasintel-em-sp-guilherme-boulos-tem-294-pablo-marcal-254-e-ricardo-nunes-229/
",3
"https://gazetabrasil.com.br/politica/2024/09/30/real-time-big-data-ricardo-nunes-guilherme-boulos-e-pablo-marcal-empatam-em-sao-paulo/
",3
"https://gazetabrasil.com.br/politica/2024/10/01/parana-pesquisas-pablo-marcal-reage-e-empata-tecnicamente-com-ricardo-nunes-e-guilherme-boulos/
",3
"https://gazetabrasil.com.br/politica/2024/10/02/real-time-big-data-indica-empate-tecnico-entre-guilherme-boulos-ricardo-nunes-e-pablo-marcal-em-sp/
",3
"https://gazetabrasil.com.br/politica/2024/10/04/ricardo-nunes-e-guilherme-boulos-investem-milhoes-do-dinheiro-publico-nas-redes-socias-para-tentar-conter-pablo-marcal-na-reta-final-sem-tv/
",3
"https://gazetabrasil.com.br/politica/2024/10/09/eleicoes-2024-guilherme-boulos-foi-o-candidato-mais-votado-nos-presidios-de-sao-paulo/
",3
"https://gazetabrasil.com.br/politica/2024/10/09/pablo-marcal-sou-contra-o-boulos-e-sempre-serei/
",3
"https://gazetabrasil.com.br/politica/2024/10/09/pt-dara-mais-r-15-milhoes-do-dinheiro-publico-a-campanha-de-boulos-no-2o-turno/
",3
"https://gazetabrasil.com.br/politica/2024/10/09/quase-50-mil-anularam-escolha-para-prefeito-em-sp-digitando-13-do-pt-votos-com-os-quais-boulos-superaria-ricardo-nunes/
",3
"https://gazetabrasil.com.br/politica/2024/10/17/boulos-chama-ricardo-nunes-de-tio-paulo-do-tarcisio/
",3
"https://gazetabrasil.com.br/politica/2024/10/23/pesquisa-real-time-big-data-ricardo-nunes-tem-51-e-guilherme-boulos-40-no-2o-turno-em-sp/
",3
"https://gazetabrasil.com.br/politica/2024/10/28/boulos-recebe-72-dos-votos-de-presidiarios-em-sao-paulo/
",3
"https://gazetabrasil.com.br/politica/2024/10/30/esquerda-protocola-na-alesp-pedido-de-impeachment-de-tarcisio-por-associar-boulos-ao-pcc/
",3
"https://noticias.r7.com/eleicoes-2024/marcal-apresenta-suposta-prova-de-uso-de-cocaina-por-boulos-que-nega-e-quer-prisao-do-rival-05102024/
",3
